shot_id,start,end,duration,chapter,chapter_title,text,mode,visual_mechanism,continuity_object,transition_in,transition_out,caption,caption_rule
s001,0,6.45,6.450023,opening,The World Between Worlds,What if there is a world that is neither physical nor spiritual — but somewhere in between?,threshold_triad,threshold triad,three apertures and the central room,opening from blank field,preserve three apertures and the central room,,No full narration captions; only the listed technical term when motion and negative space permit.
s002,6.45,11.6,5.150023,opening,The World Between Worlds,And what if that world is more real than either?,between_worlds,between worlds,three apertures and the central room,continuous motif transformation,preserve three apertures and the central room,mundus imaginalis,No full narration captions; only the listed technical term when motion and negative space permit.
s003,11.6,19.986,8.385986,opening,The World Between Worlds,"Henry Corbin, the great French scholar of Iranian Sufism, spent his life documenting the evidence for this world.",corbin_orbit,corbin orbit,three apertures and the central room,continuous motif transformation,preserve three apertures and the central room,,No full narration captions; only the listed technical term when motion and negative space permit.
s004,19.986,25.136,5.150023,opening,The World Between Worlds,"He called it the mundus imaginalis — the imaginal world,",room_between,room between,three apertures and the central room,continuous motif transformation,preserve three apertures and the central room,,No full narration captions; only the listed technical term when motion and negative space permit.
s005,25.136,30.612,5.476009,opening,The World Between Worlds,and he believed it was the place where everything that matters actually happens.,threshold_triad,threshold triad,three apertures and the central room,continuous motif transformation,preserve three apertures and the central room,,No full narration captions; only the listed technical term when motion and negative space permit.
s006,30.612,37.186,6.573878,third,The Third World,"Corbin saw a third world between the material and the spiritual — the mundus imaginalis,",three_worlds,three worlds,the intermediate domain,continuous motif transformation,preserve the intermediate domain,matter • imaginal • spirit,No full narration captions; only the listed technical term when motion and negative space permit.
s007,37.186,42.336,5.150023,third,The Third World,the connective tissue between matter and spirit.,ninth_sphere,ninth sphere,the intermediate domain,continuous motif transformation,preserve the intermediate domain,the ninth sphere,No full narration captions; only the listed technical term when motion and negative space permit.
s008,42.336,50.628,8.292018,third,The Ninth Sphere,"Between the world of pure spiritual Lights, Luces victoriales, the world of the 'Mothers' in the terminology of Ishraq,",imaginal_figures,imaginal figures,the intermediate domain,continuous motif transformation,preserve the intermediate domain,,No full narration captions; only the listed technical term when motion and negative space permit.
s009,50.628,56.599,5.97102,third,The Ninth Sphere,"and the sensory universe, at the boundary of the ninth Sphere, the Sphere of Spheres,",bridge_tissue,bridge tissue,the intermediate domain,continuous motif transformation,preserve the intermediate domain,,No full narration captions; only the listed technical term when motion and negative space permit.
s010,56.599,64.343,7.743855,third,The Ninth Sphere,"there opens a mundus imaginalis which is a concrete spiritual world of archetype-Figures, apparitional Forms,",three_worlds,three worlds,the intermediate domain,continuous motif transformation,preserve the intermediate domain,matter • imaginal • spirit,No full narration captions; only the listed technical term when motion and negative space permit.
s011,64.343,73.103,8.759728,third,The Ninth Sphere,Angels of species and of individuals; by philosophical dialectics its necessity is deduced and its plane situated;,ninth_sphere,ninth sphere,the intermediate domain,continuous motif transformation,preserve the intermediate domain,the ninth sphere,No full narration captions; only the listed technical term when motion and negative space permit.
