shot_id,start,end,duration,spoken_passage,chapter,visual_mode,visual_mechanism,continuity_object,transition,caption_restriction,raw_audio_duration
1,0.0,5.15,5.15,A 13th-century bishop wrote a book about stones.,I. The Patient Life of Stone,bishop_codex,bishop codex,illuminated folio,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,3.889
2,5.15,11.15,6.0,"He classified them by their powers, their origins, their correspondences to the stars.",IX. The Intermediate Substance,inner_lattice,inner lattice,substantial lattice,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.983
3,11.15,17.9,6.75,"He believed stones have life — not the life of plants or animals, but a life proper to stone,",IX. The Intermediate Substance,watching_stones,watching stones,stone-eye,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.626
4,17.9,23.05,5.15,slow and patient and aware in a way we have forgotten.,IX. The Intermediate Substance,watching_stones,watching stones,stone-eye,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,3.74
5,23.05,30.05,7.0,"Albertus Magnus was the most learned man of his age — teacher of Thomas Aquinas, bishop of Regensburg,",I. The Patient Life of Stone,bishop_codex,bishop codex,illuminated folio,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.928
6,30.05,35.2,5.15,master of everything that could be known in the 13th century.,IX. The Intermediate Substance,bishop_codex,bishop codex,illuminated folio,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,4.049
7,35.2,44.7,9.5,"His Book of Minerals, the first systematic Christian treatise on mineralogy, organized the entire mineral kingdom through Aristotle's four causes:",I. The Patient Life of Stone,bishop_codex,bishop codex,illuminated folio,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,9.462
8,44.7,49.95,5.25,"""The material of all stone is either some form of Earth or some form of Water.",II. Mineralizing Intelligence,earth_water,earth water,mineral seed,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.235
9,49.95,55.1,5.15,For one or the other of these elements predominates in stones.,IX. The Intermediate Substance,stone_star,stone star,frequency thread,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,4.184
10,55.1,61.475,6.375,Evidence of this is that nearly all kinds of stones sink in water — they must be rich in Earth.,IX. The Intermediate Substance,earth_water,earth water,mineral seed,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.323
11,61.475,67.1,5.625,"No kind of stone floats, unless it is spongy or burnt, like pumice.",IX. The Intermediate Substance,earth_water,earth water,mineral seed,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.513
12,67.1,74.35,7.25,"The efficient cause of stones is a mineralizing power, common to the production of both stones and metals.",II. Mineralizing Intelligence,crystal_growth,crystal growth,forming crystal,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,7.139
13,74.35,80.6,6.25,"Just as in an animal's seed, there comes from the seminal vessels a force capable of forming an animal,",IX. The Intermediate Substance,seed_form,seed form,mineral seed,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.135
14,80.6,86.35,5.75,"so in material suitable for stones there is a power that forms and produces stones,",IX. The Intermediate Substance,stone_star,stone star,frequency thread,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.704
15,86.35,91.5,5.15,"and develops the form of this stone or that.""",IX. The Intermediate Substance,watching_stones,watching stones,stone-eye,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,3.638
16,91.5,97.875,6.375,Matter is alive: the mineralizing power is the same kind of force that shapes a living body —,II. Mineralizing Intelligence,crystal_growth,crystal growth,forming crystal,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.297
17,97.875,104.0,6.125,"a formative intelligence working through the elements to produce structure, color, and power.",IX. The Intermediate Substance,crystal_growth,crystal growth,forming crystal,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.101
18,104.0,109.25,5.25,Albert compares this power to the force in an animal's seed that forms its body.,IX. The Intermediate Substance,seed_form,seed form,mineral seed,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.179
19,109.25,115.5,6.25,The stone is the outcome of a specific intention carried through the elements by a power that knows what it,IX. The Intermediate Substance,stone_star,stone star,frequency thread,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.23
20,115.5,120.65,5.15,is doing — not a product of random chance.,IX. The Intermediate Substance,watching_stones,watching stones,stone-eye,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,3.371
21,120.65,128.275,7.625,"The mineralizing power is the world-soul at work in the mineral kingdom, shaping Earth and Water into the forms that",II. Mineralizing Intelligence,crystal_growth,crystal growth,forming crystal,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,7.609
22,128.275,137.15,8.875,"express its inner structure. Albert affirmed the powers of stones — their ability to heal, protect, attract, repel —",III. Form Is Power,inner_lattice,inner lattice,substantial lattice,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,8.847
23,137.15,143.275,6.125,against skeptics who denied they could do anything at all. His argument was subtle:,IX. The Intermediate Substance,crystal_growth,crystal growth,forming crystal,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.039
24,143.275,148.65,5.375,"""The power of stones is caused by the specific substantial form of the stone.",III. Form Is Power,inner_lattice,inner lattice,substantial lattice,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.317
25,148.65,153.9,5.25,"There are some powers of mixed bodies that are caused by the constituents in the mixture,",IX. The Intermediate Substance,watching_stones,watching stones,stone-eye,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.221
26,153.9,159.05,5.15,and some caused by the specific form itself.,IX. The Intermediate Substance,inner_lattice,inner lattice,substantial lattice,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,3.415
27,159.05,166.675,7.625,"Stones have no souls — but they do have substantial forms, imparted by the powers of heaven and by the",III. Form Is Power,inner_lattice,inner lattice,substantial lattice,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,7.519
28,166.675,175.925,9.25,particular mixture of their elements. The powers are not magical in the sense of being supernatural. They are the natural actions of the form.,IX. The Intermediate Substance,crystal_growth,crystal growth,forming crystal,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,9.169
29,175.925,185.05,9.125,"The magnet attracts iron because its form IS that relation. The sapphire cools inflammation because its form IS that cooling.""",III. Form Is Power,magnet_relation,magnet relation,relational line,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,9.109
30,185.05,191.425,6.375,Every power a stone possesses is a direct expression of what it IS at the level of its essential form.,III. Form Is Power,inner_lattice,inner lattice,substantial lattice,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.318
31,191.425,198.8,7.375,The magnet magnetizes because magnetism is what the form of magnetite IS — no mysterious force emitted.,IX. The Intermediate Substance,magnet_relation,magnet relation,relational line,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,7.372
32,198.8,204.8,6.0,The heart of Albert's theory was the Sulphur-Quicksilver model he inherited from Arabic alchemy —,IV. The Marriage of Metals,sulphur_fire,sulphur fire,solar current,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.942
33,204.8,209.95,5.15,the idea that all metals are composed of two principles:,IX. The Intermediate Substance,crystal_growth,crystal growth,forming crystal,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,3.891
34,209.95,218.2,8.25,"""Sulphur is the Father and Quicksilver the Mother of metals. Sulphur liquefies by dry heat and congeals by cold.",IV. The Marriage of Metals,sulphur_fire,sulphur fire,solar current,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,8.152
35,218.2,227.7,9.5,It is divided into 'live' sulphur and 'fused' sulphur. Quicksilver contains two principal substances: Water and Earth.,IV. The Marriage of Metals,sulphur_fire,sulphur fire,solar current,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,9.391
36,227.7,233.075,5.375,It is to the material substance of metals as the menstrual fluid is to the embryo.,IX. The Intermediate Substance,bishop_codex,bishop codex,illuminated folio,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.342
37,233.075,240.45,7.375,"The planets determine the specific form of each metal — gold is the Sun, silver the Moon, iron Mars,",IV. The Marriage of Metals,planetary_metals,planetary metals,sevenfold orbit,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,7.288
38,240.45,245.7,5.25,"copper Venus, tin Jupiter, lead Saturn, quicksilver Mercury.",IV. The Marriage of Metals,mercury_flow,mercury flow,lunar current,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.235
39,245.7,252.45,6.75,"Every metal is a marriage of the active and passive principles under a particular celestial signature.""",IX. The Intermediate Substance,stone_star,stone star,frequency thread,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.741
40,252.45,257.6,5.15,The same pattern appears in the subtle body:,IX. The Intermediate Substance,watching_stones,watching stones,stone-eye,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,2.795
41,257.6,263.6,6.0,"piṅgalā (solar, active) = Sulphur;",IV. The Marriage of Metals,sulphur_fire,sulphur fire,solar current,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.976
42,263.6,269.475,5.875,"iḍā (lunar, receptive) = Quicksilver.",IV. The Marriage of Metals,mercury_flow,mercury flow,lunar current,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.849
43,269.475,276.1,6.625,Their union in suṣumṇā is the birth of the,IV. The Marriage of Metals,subtle_body,subtle body,central axis,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.572
44,276.1,283.1,7.0,"completed metal — the lapis, the body of light. The alchemical marriage is happening in your spine.",IV. The Marriage of Metals,subtle_body,subtle body,central axis,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.886
45,283.1,290.1,7.0,Albert's alphabetical lapidary — twenty chapters describing individual stones and their powers —,V. The Living Lapidary,lapidary_pages,lapidary pages,catalog stone,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.915
46,290.1,295.25,5.15,reads like a catalog of a world where matter is saturated with meaning:,IX. The Intermediate Substance,lapidary_pages,lapidary pages,catalog stone,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,4.677
47,295.25,300.75,5.5,"""ABESTON — Asbestos. Once kindled it can hardly ever be quenched.",V. The Living Lapidary,eternal_fibre,eternal fibre,kindled thread,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.464
48,300.75,307.125,6.375,"Has the nature of a wool called 'salamander's down.' ADAMAS — An extremely hard stone,",V. The Living Lapidary,adamant,adamant,diamond edge,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.266
49,307.125,316.375,9.25,so solid that neither fire nor iron can soften it. Pierces iron and all other gems but not steel. AGATHES — Agate.,V. The Living Lapidary,adamant,adamant,diamond edge,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,9.163
50,316.375,323.125,6.75,When placed under the head of a sleeper it is said to show him many dreams. AMETHYSTUS — Amethyst.,V. The Living Lapidary,dream_stone,dream stone,dream aperture,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.723
51,323.125,328.875,5.75,"Counteracts drunkenness, keeps one awake at night, represses evil thoughts.",IX. The Intermediate Substance,bishop_codex,bishop codex,illuminated folio,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.714
52,328.875,334.125,5.25,BERYLLUS — Beryl. Effective against peril from enemies and disputes.,V. The Living Lapidary,inner_lattice,inner lattice,substantial lattice,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.224
53,334.125,342.375,8.25,CARBUNCULUS — Carbuncle. When really good it shines in the dark like a live coal. SMARAGDUS — Emerald.,V. The Living Lapidary,carbuncle_coal,carbuncle coal,living coal,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,8.177
54,342.375,349.25,6.875,"Strengthens weak sight, improves memory, averts tempests. SAPHIRUS — Sapphire.",III. Form Is Power,cooling_stone,cooling stone,blue current,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.764
55,349.25,354.4,5.15,Makes a man chaste and cools internal heat. Cures headache.,IX. The Intermediate Substance,watching_stones,watching stones,stone-eye,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,4.718
56,354.4,362.4,8.0,"MAGNES — Magnet. Has a wonderful power of attracting iron. If rubbed with garlic it does not attract.""",V. The Living Lapidary,magnet_relation,magnet relation,relational line,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,7.914
57,362.4,370.65,8.25,"Each stone is a specific contraction of consciousness into matter — a tattva, a particular divine name made visible.",V. The Living Lapidary,consciousness_condenses,consciousness condenses,descending name,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,8.204
58,370.65,377.025,6.375,"The stone IS the power condensed into a form that can be held in the hand, not merely a symbol of it.",IX. The Intermediate Substance,crystal_growth,crystal growth,forming crystal,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.344
59,377.025,382.175,5.15,Albert included a complete astrological lapidary —,VI. Stone and Star,stone_star,stone star,frequency thread,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,3.505
60,382.175,388.8,6.625,instructions for engraving specific images on specific stones under specific planetary hours:,IX. The Intermediate Substance,engraving,engraving,incised line,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.553
